Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-12 08:30:55.592675,1564,0,0,0,425,0,0,0
Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-12 08:30:55.592951,1564,0,0,539,425,0,0,573
2024-01-12 08:30:55.593047,1564,0,568,539,425,0,544,573
2024-01-12 08:30:55.595412,1548,0,568,539,453,0,544,573
2024-01-12 08:30:55.596227,1548,0,568,540,453,0,541,571
2024-01-12 08:30:55.596551,1548,0,568,540,453,0,541,571
2024-01-12 08:30:55.619235,1548,0,571,540,453,0,541,571
2024-01-12 08:30:55.620667,1620,0,571,540,429,0,541,571
2024-01-12 08:30:55.622216,1620,0,571,542,429,0,541,571
2024-01-12 08:30:55.639540,1620,0,571,542,429,0,543,571
2024-01-12 08:30:55.641351,1620,0,571,540,429,0,543,569
2024-01-12 08:30:55.644482,1539,0,571,540,419,0,543,569
2024-01-12 08:30:55.660721,1539,0,568,540,419,0,543,569
2024-01-12 08:30:55.666764,1539,0,568,542,419,0,543,572
2024-01-12 08:30:55.668876,1483,0,568,542,421,0,543,572
2024-01-12 08:30:55.681678,1483,0,570,542,421,0,538,572
2024-01-12 08:30:55.685984,1483,0,570,540,421,0,538,574
2024-01-12 08:30:55.691312,1489,0,570,540,425,0,538,574
2024-01-12 08:30:55.703093,1489,0,566,540,425,0,542,574
2024-01-12 08:30:55.711134,1489,0,566,539,425,0,542,571
2024-01-12 08:30:55.714404,1573,0,566,539,419,0,542,571
2024-01-12 08:30:55.723517,1573,0,570,539,419,0,539,571
2024-01-12 08:30:55.730566,1573,0,570,543,419,0,539,571
2024-01-12 08:30:55.738678,1568,0,570,543,425,0,539,571
2024-01-12 08:30:55.745151,1568,0,569,543,425,0,542,571
2024-01-12 08:30:55.755369,1568,0,569,541,425,0,542,573
2024-01-12 08:30:55.761218,1648,0,569,541,428,0,542,573
2024-01-12 08:30:55.765648,1648,0,570,541,428,0,544,573
2024-01-12 08:30:55.775315,1648,0,570,538,428,0,544,576
2024-01-12 08:30:55.784127,1546,0,570,538,420,0,544,576
2024-01-12 08:30:55.787465,1546,0,570,538,420,0,543,576
2024-01-12 08:30:55.799888,1546,0,570,541,420,0,543,576
2024-01-12 08:30:55.806873,1546,0,567,541,420,0,543,576
2024-01-12 08:30:55.808173,1591,0,567,541,419,0,543,576
2024-01-12 08:30:55.819348,1591,0,567,538,419,0,543,572
2024-01-12 08:30:55.828439,1591,0,572,538,419,0,544,572
2024-01-12 08:30:55.831110,1689,0,572,538,434,0,544,572
2024-01-12 08:30:55.844562,1689,0,572,541,434,0,544,569
2024-01-12 08:30:55.848927,1689,0,572,541,434,0,541,569
2024-01-12 08:30:55.855383,1639,0,572,541,437,0,541,569
2024-01-12 08:30:55.864050,1639,0,572,539,437,0,541,574
2024-01-12 08:30:55.870568,1639,0,569,539,437,0,544,574
2024-01-12 08:30:55.877923,1616,0,569,539,426,0,544,574
2024-01-12 08:30:55.889901,1616,0,569,538,426,0,544,567
2024-01-12 08:30:55.891505,1616,0,569,538,426,0,541,567
2024-01-12 08:30:55.900978,1573,0,569,538,430,0,541,567
2024-01-12 08:30:55.908005,1573,0,569,539,430,0,541,569
2024-01-12 08:30:55.914168,1573,0,570,539,430,0,542,569
2024-01-12 08:30:55.924568,1632,0,570,539,425,0,542,569
2024-01-12 08:30:55.934046,1632,0,567,539,425,0,544,569
2024-01-12 08:30:55.934691,1632,0,567,538,425,0,544,572
2024-01-12 08:30:55.948643,1437,0,567,538,435,0,544,572
2024-01-12 08:30:55.952795,1437,0,567,539,435,0,544,570
2024-01-12 08:30:55.954980,1437,0,573,539,435,0,548,570
2024-01-12 08:30:55.972541,1483,0,573,539,431,0,548,570
2024-01-12 08:30:55.974428,1483,0,569,539,431,0,543,570
2024-01-12 08:30:55.978066,1483,0,569,541,431,0,543,573
2024-01-12 08:30:55.995487,1592,0,569,541,434,0,543,573
2024-01-12 08:30:55.996301,1592,0,571,541,434,0,546,573
