Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-12 08:41:35.631897,1410,0,0,537,430,0,0,571
2024-01-12 08:41:35.632086,1410,0,578,537,430,0,545,571
Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-12 08:41:35.632266,1410,0,0,0,430,0,0,0
2024-01-12 08:41:35.633979,1622,0,578,537,434,0,545,571
2024-01-12 08:41:35.637207,1622,0,570,537,434,0,543,571
2024-01-12 08:41:35.637596,1622,0,570,539,434,0,543,571
2024-01-12 08:41:35.644187,1622,0,570,539,434,0,543,571
2024-01-12 08:41:35.660502,1531,0,570,539,435,0,543,571
2024-01-12 08:41:35.661669,1531,0,570,542,435,0,543,570
2024-01-12 08:41:35.662410,1531,0,571,542,435,0,543,570
2024-01-12 08:41:35.680772,1531,0,571,540,435,0,543,573
2024-01-12 08:41:35.684603,1444,0,571,540,436,0,543,573
2024-01-12 08:41:35.686605,1444,0,571,540,436,0,541,573
2024-01-12 08:41:35.706068,1444,0,571,538,436,0,541,571
2024-01-12 08:41:35.706758,1444,0,567,538,436,0,539,571
2024-01-12 08:41:35.708696,1623,0,567,538,419,0,539,571
2024-01-12 08:41:35.725404,1623,0,567,539,419,0,539,572
2024-01-12 08:41:35.730688,1623,0,569,539,419,0,545,572
2024-01-12 08:41:35.732558,1454,0,569,539,438,0,545,572
2024-01-12 08:41:35.750112,1454,0,574,539,438,0,542,572
2024-01-12 08:41:35.751125,1454,0,574,538,438,0,542,572
2024-01-12 08:41:35.756124,1594,0,574,538,433,0,542,572
2024-01-12 08:41:35.769812,1594,0,574,543,433,0,542,571
2024-01-12 08:41:35.775184,1594,0,568,543,433,0,540,571
2024-01-12 08:41:35.780135,inf,0,568,543,444,0,540,571
2024-01-12 08:41:35.794826,inf,0,564,543,444,0,543,571
2024-01-12 08:41:35.795470,inf,0,564,539,444,0,543,572
2024-01-12 08:41:35.803294,1630,0,564,539,425,0,543,572
2024-01-12 08:41:35.813833,1630,0,564,538,425,0,543,571
2024-01-12 08:41:35.818707,1630,0,570,538,425,0,545,571
2024-01-12 08:41:35.827346,1566,0,570,538,414,0,545,571
2024-01-12 08:41:35.839129,1566,0,570,542,414,0,545,569
2024-01-12 08:41:35.843505,1566,0,573,542,414,0,544,569
2024-01-12 08:41:35.851010,1547,0,573,542,445,0,544,569
2024-01-12 08:41:35.858557,1547,0,573,541,445,0,544,570
2024-01-12 08:41:35.863296,1547,0,571,541,445,0,541,570
2024-01-12 08:41:35.875265,1511,0,571,541,438,0,541,570
2024-01-12 08:41:35.882518,1511,0,571,541,438,0,541,571
2024-01-12 08:41:35.886844,1511,0,568,541,438,0,542,571
2024-01-12 08:41:35.898993,1551,0,568,541,427,0,542,571
2024-01-12 08:41:35.907474,1551,0,568,541,427,0,542,573
2024-01-12 08:41:35.912754,1551,0,568,541,427,0,545,573
2024-01-12 08:41:35.923136,1609,0,568,541,431,0,545,573
2024-01-12 08:41:35.926919,1609,0,568,540,431,0,545,571
2024-01-12 08:41:35.931261,1609,0,565,540,431,0,543,571
2024-01-12 08:41:35.947674,1671,0,565,540,427,0,543,571
2024-01-12 08:41:35.952105,1671,0,565,541,427,0,543,571
2024-01-12 08:41:35.956769,1671,0,572,541,427,0,544,571
2024-01-12 08:41:35.971212,1577,0,572,541,444,0,544,571
2024-01-12 08:41:35.971942,1577,0,572,543,444,0,544,570
2024-01-12 08:41:35.975840,1577,0,570,543,444,0,542,570
2024-01-12 08:41:35.995350,1512,0,570,543,446,0,542,570
2024-01-12 08:41:35.996721,1512,0,570,544,446,0,542,570
2024-01-12 08:41:36.000877,1512,0,570,544,446,0,547,570
2024-01-12 08:41:36.016008,1512,0,570,539,446,0,547,573
2024-01-12 08:41:36.018995,1561,0,570,539,434,0,547,573
2024-01-12 08:41:36.020173,1561,0,573,539,434,0,539,573
2024-01-12 08:41:36.040758,1561,0,573,542,434,0,539,572
2024-01-12 08:41:36.042867,1617,0,573,542,438,0,539,572
2024-01-12 08:41:36.045738,1617,0,570,542,438,0,546,572
2024-01-12 08:41:36.060321,1617,0,570,538,438,0,546,569
2024-01-12 08:41:36.064729,1617,0,571,538,438,0,547,569
2024-01-12 08:41:36.067057,1640,0,571,538,419,0,547,569
2024-01-12 08:41:36.085377,1640,0,571,540,419,0,547,574
2024-01-12 08:41:36.089843,1640,0,571,540,419,0,543,574
2024-01-12 08:41:36.091424,1458,0,571,540,436,0,543,574
