Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-10 12:58:30.539602,inf,0,0,0,inf,0,0,0
Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-10 12:58:30.539702,inf,35,0,0,inf,inf,0,0
Timestamp,A1,A2,B1,B2,C1,C2,D1,D2
2024-01-10 12:58:30.540278,inf,35,inf,0,inf,inf,534,0
2024-01-10 12:58:30.542431,inf,35,inf,0,inf,inf,534,0
2024-01-10 12:58:30.542977,inf,1004,inf,0,inf,215,534,0
2024-01-10 12:58:30.544366,inf,1004,inf,0,inf,215,475,0
2024-01-10 12:58:30.563982,inf,1004,inf,0,inf,215,475,0
2024-01-10 12:58:30.566153,inf,618,inf,0,inf,230,475,0
2024-01-10 12:58:30.569061,inf,618,529,0,inf,230,472,0
2024-01-10 12:58:30.582808,inf,618,529,0,inf,230,472,0
2024-01-10 12:58:30.589175,inf,288,529,0,inf,241,472,0
2024-01-10 12:58:30.591681,inf,288,520,0,inf,241,475,0
2024-01-10 12:58:30.606159,1955,inf,520,0,inf,inf,475,0
2024-01-10 12:58:30.606295,1955,288,520,0,inf,241,475,0
2024-01-10 12:58:30.616178,1955,inf,507,0,inf,inf,470,0
2024-01-10 12:58:30.624793,inf,inf,507,0,inf,inf,470,0
2024-01-10 12:58:30.624935,inf,1330,507,0,inf,244,470,0
2024-01-10 12:58:30.639931,inf,1330,543,0,inf,244,472,0
2024-01-10 12:58:30.643368,inf,1330,543,0,inf,244,472,0
2024-01-10 12:58:30.646446,inf,inf,543,0,inf,250,472,0
2024-01-10 12:58:30.660408,inf,inf,543,0,inf,250,472,0
2024-01-10 12:58:30.662590,inf,1928,543,0,inf,inf,472,0
2024-01-10 12:58:30.663837,inf,1928,515,0,inf,inf,484,0
2024-01-10 12:58:30.683195,inf,1928,515,0,inf,inf,484,0
2024-01-10 12:58:30.685580,inf,887,515,0,inf,228,484,0
2024-01-10 12:58:30.687633,inf,887,519,0,inf,228,477,0
2024-01-10 12:58:30.701533,inf,887,519,0,inf,228,477,0
2024-01-10 12:58:30.708286,inf,inf,519,0,inf,235,477,0
2024-01-10 12:58:30.712140,inf,inf,511,0,inf,235,469,0
2024-01-10 12:58:30.724710,inf,inf,511,0,inf,235,469,0
2024-01-10 12:58:30.725368,inf,inf,511,0,inf,inf,469,0
2024-01-10 12:58:30.735859,inf,inf,530,0,inf,inf,487,0
2024-01-10 12:58:30.742972,inf,inf,530,0,inf,inf,487,0
2024-01-10 12:58:30.743580,inf,inf,530,0,inf,229,487,0
2024-01-10 12:58:30.759446,inf,inf,524,0,inf,229,481,0
2024-01-10 12:58:30.762022,inf,inf,524,0,inf,229,481,0
2024-01-10 12:58:30.762281,inf,inf,524,0,inf,241,481,0
2024-01-10 12:58:30.780168,1699,inf,524,0,inf,241,481,0
2024-01-10 12:58:30.783957,1699,inf,528,0,inf,241,488,0
2024-01-10 12:58:30.784386,1699,519,528,0,inf,232,488,0
2024-01-10 12:58:30.800592,2160,519,528,0,inf,232,488,0
2024-01-10 12:58:30.806680,2160,inf,528,0,inf,243,488,0
2024-01-10 12:58:30.807432,2160,inf,510,0,inf,243,477,0
2024-01-10 12:58:30.818153,inf,inf,510,0,inf,243,477,0
2024-01-10 12:58:30.829603,inf,1520,510,0,inf,213,477,0
2024-01-10 12:58:30.831657,inf,1520,548,0,inf,213,459,0
2024-01-10 12:58:30.836708,inf,1520,548,0,inf,213,459,0
2024-01-10 12:58:30.852049,inf,687,548,0,inf,239,459,0
2024-01-10 12:58:30.855294,inf,687,524,0,inf,239,467,0
2024-01-10 12:58:30.857286,1982,687,524,0,inf,239,467,0
2024-01-10 12:58:30.874843,1982,912,524,0,inf,221,467,0
2024-01-10 12:58:30.875772,inf,912,524,0,inf,221,467,0
2024-01-10 12:58:30.879813,inf,912,517,0,inf,221,485,0
2024-01-10 12:58:30.895213,inf,912,517,0,inf,221,485,0
2024-01-10 12:58:30.897749,inf,inf,517,0,inf,243,485,0
2024-01-10 12:58:30.903289,inf,inf,533,0,inf,243,465,0
