Timestamp,A1,A2,C1,C2,B1,B2,D1,D2
2024-01-09 13:55:05.198294,inf,0.27706438302993774,0.48523417115211487,0.514102578163147,0.8372769355773926,inf,0.5142465233802795,0.4853953421115875
2024-01-09 13:55:05.274733,inf,0.2770695686340332,0.48544731736183167,0.5142214894294739,0.8381662368774414,inf,0.5143684148788452,0.48558756709098816
2024-01-09 13:55:05.336853,inf,0.2770647406578064,0.4861038625240326,0.5144901275634766,0.8386097550392151,inf,0.5146636962890625,0.4864630401134491
2024-01-09 13:55:05.408688,inf,0.2770659625530243,0.4869391620159149,0.5147401094436646,0.8394962549209595,inf,0.514798104763031,0.4866698980331421
2024-01-09 13:55:05.485010,inf,0.2770666480064392,0.4873723089694977,0.5152618885040283,0.8403204679489136,inf,0.5150541663169861,0.487089604139328
2024-01-09 13:55:05.540692,inf,0.2770700752735138,0.48760005831718445,0.5153783559799194,0.8407207727432251,inf,0.515190839767456,0.48731714487075806
2024-01-09 13:55:05.611168,inf,0.2770872414112091,0.48801395297050476,0.5159921050071716,0.8437309861183167,inf,0.5158617496490479,0.4881606698036194
2024-01-09 13:55:05.681815,inf,0.27706611156463623,0.48822832107543945,0.5161199569702148,0.8441562652587891,inf,0.5159955024719238,0.4883687496185303
2024-01-09 13:55:05.752659,inf,0.2770702838897705,0.48907238245010376,0.5166125893592834,0.8450577259063721,inf,0.516135036945343,0.48857587575912476
2024-01-09 13:55:05.827493,inf,0.27706846594810486,0.4902779757976532,0.5167152881622314,0.8466405272483826,inf,0.5166670083999634,0.48876726627349854
2024-01-09 13:55:05.895823,inf,0.27706819772720337,0.4908858835697174,0.5172157287597656,0.8494911193847656,inf,0.5167834162712097,0.4889931380748749
2024-01-09 13:55:05.965683,inf,0.2770690619945526,0.49108293652534485,0.5173355937004089,0.8499460816383362,inf,0.5169105529785156,0.48978930711746216
2024-01-09 13:55:06.040030,inf,0.2770693302154541,0.49124231934547424,0.5175755620002747,0.8501870036125183,inf,0.5172879695892334,0.49002107977867126
2024-01-09 13:55:06.113830,inf,0.27707040309906006,0.4914693236351013,0.5181739330291748,0.8505083918571472,inf,0.5174246430397034,0.4917346239089966
2024-01-09 13:55:06.183493,inf,0.27708980441093445,0.4915769696235657,0.5183281302452087,0.8508299589157104,inf,0.5175498127937317,0.49183568358421326
2024-01-09 13:55:06.268421,inf,0.2770697772502899,0.4917503297328949,0.5187084674835205,0.8512229919433594,inf,0.5176720023155212,0.49225372076034546
2024-01-09 13:55:06.343209,inf,0.27706992626190186,0.4921019971370697,0.5188481211662292,0.8522759079933167,inf,0.5177938938140869,0.4925466477870941
2024-01-09 13:55:06.423201,inf,0.2770739495754242,0.49235206842422485,0.5189353823661804,0.8527606129646301,inf,0.5179118514060974,0.4927850067615509
2024-01-09 13:55:06.491247,inf,0.2770903706550598,0.49263012409210205,0.5190389752388,0.8531323075294495,inf,0.5180383324623108,0.49297431111335754
2024-01-09 13:55:06.552897,inf,0.27709051966667175,0.4932393729686737,0.519312858581543,0.8535661697387695,inf,0.5182355046272278,0.49315547943115234
2024-01-09 13:55:06.616901,inf,0.2770712375640869,0.4934009909629822,0.519669771194458,0.8539232611656189,inf,0.5193622708320618,0.49351146817207336
2024-01-09 13:55:06.702044,inf,0.27707165479660034,0.49356862902641296,0.5201364755630493,0.8555483818054199,inf,0.5205621719360352,0.4939790964126587
2024-01-09 13:55:06.765799,inf,0.27707555890083313,0.4938320517539978,0.5202339291572571,0.8563748598098755,inf,0.520648717880249,0.4941648840904236
2024-01-09 13:55:06.826701,inf,0.27707603573799133,0.4940268397331238,0.5203389525413513,0.8568732142448425,inf,0.5207504034042358,0.4945369064807892
2024-01-09 13:55:06.891979,inf,0.27709126472473145,0.49421387910842896,0.5204641222953796,0.8571426868438721,inf,0.5208585262298584,0.49477922916412354
2024-01-09 13:55:06.963927,inf,0.2770735025405884,0.4954328238964081,0.5208544731140137,0.8579026460647583,inf,0.5212145447731018,0.4949578046798706
2024-01-09 13:55:07.034702,inf,0.27709174156188965,0.4955977201461792,0.5209669470787048,0.8587419986724854,inf,0.5215229392051697,0.49512165784835815
2024-01-09 13:55:07.113919,inf,0.27707356214523315,0.4966408312320709,0.5210515856742859,0.8606310486793518,inf,0.5217410922050476,0.49590864777565
2024-01-09 13:55:07.190135,inf,0.27707433700561523,0.49700501561164856,0.5212865471839905,0.8609510660171509,inf,0.5219773054122925,0.49647781252861023
2024-01-09 13:55:07.266104,inf,0.2770931124687195,0.49738067388534546,0.5215859413146973,0.8613648414611816,inf,0.5222948789596558,0.4971233606338501
2024-01-09 13:55:07.338452,inf,0.2770744562149048,0.49758049845695496,0.5216928124427795,0.8617205619812012,inf,0.5224103927612305,0.4973231256008148
2024-01-09 13:55:07.407488,inf,0.2770756185054779,0.4977234899997711,0.5219230651855469,0.8621395826339722,inf,0.5226504802703857,0.4975298047065735
2024-01-09 13:55:07.483396,inf,0.2770754396915436,0.49807149171829224,0.5221232175827026,0.862842857837677,inf,0.5228850245475769,0.49771204590797424
2024-01-09 13:55:07.555004,inf,0.2770808935165405,0.49881723523139954,0.522351086139679,0.8639717102050781,inf,0.5234238505363464,0.4978572726249695
2024-01-09 13:55:07.614914,inf,0.27709487080574036,0.4991871118545532,0.5225353240966797,0.8643884062767029,inf,0.5235772728919983,0.498394638299942
2024-01-09 13:55:07.685123,inf,0.2770807147026062,0.49970197677612305,0.522760808467865,0.8648276329040527,inf,0.523639440536499,0.4987846910953522
