 2023-08-25  09:37:50.604144  227,2000
 2023-08-25  09:37:50.631975  218,2000
 2023-08-25  09:37:50.659816  197,2000
 2023-08-25  09:37:50.687700  210,2000
 2023-08-25  09:37:50.715730  229,2000
 2023-08-25  09:37:50.743966  203,2000
 2023-08-25  09:37:50.771870  208,2000
 2023-08-25  09:37:50.799607  211,3376
 2023-08-25  09:37:50.827578  208,3653
 2023-08-25  09:37:50.855446  221,2000
 2023-08-25  09:37:50.883412  216,2000
 2023-08-25  09:37:50.911359  210,2000
 2023-08-25  09:37:50.940001  212,2000
 2023-08-25  09:37:50.967906  230,2000
 2023-08-25  09:37:50.995696  223,2000
 2023-08-25  09:37:51.023670  228,2000
 2023-08-25  09:37:51.051415  208,2000
 2023-08-25  09:37:51.079226  219,2000
 2023-08-25  09:37:51.108362  199,2000
 2023-08-25  09:37:51.127058  230,2000
 2023-08-25  09:37:51.157699  213,2000
 2023-08-25  09:37:51.175292  210,2000
 2023-08-25  09:37:51.203223  218,2000
 2023-08-25  09:37:51.232192  200,2000
 2023-08-25  09:37:51.260096  225,2636
 2023-08-25  09:37:51.288152  212,2000
 2023-08-25  09:37:51.317198  202,2000
 2023-08-25  09:37:51.336986  209,2000
 2023-08-25  09:37:51.365038  222,2794
 2023-08-25  09:37:51.392899  225,2000
 2023-08-25  09:37:51.420781  214,2000
 2023-08-25  09:37:51.449919  217,2000
 2023-08-25  09:37:51.468843  211,2000
 2023-08-25  09:37:51.496589  205,2000
 2023-08-25  09:37:51.525522  224,2000
 2023-08-25  09:37:51.544321  209,2000
 2023-08-25  09:37:51.572276  221,2000
 2023-08-25  09:37:51.600311  218,2000
 2023-08-25  09:37:51.628173  199,2000
 2023-08-25  09:37:51.656151  209,2008
 2023-08-25  09:37:51.684039  227,2000
 2023-08-25  09:37:51.712000  217,2000
 2023-08-25  09:37:51.740426  220,2000
 2023-08-25  09:37:51.768374  221,3051
 2023-08-25  09:37:51.796191  214,3346
 2023-08-25  09:37:51.824181  209,2000
 2023-08-25  09:37:51.852161  226,2000
 2023-08-25  09:37:51.880127  219,2000
 2023-08-25  09:37:51.908100  223,2000
 2023-08-25  09:37:51.937176  215,2000
 2023-08-25  09:37:51.965262  209,1898
 2023-08-25  09:37:51.993160  202,2000
 2023-08-25  09:37:52.020968  209,2145
 2023-08-25  09:37:52.048718  208,2000
 2023-08-25  09:37:52.076625  217,2000
 2023-08-25  09:37:52.104522  200,2116
 2023-08-25  09:37:52.132888  213,2000
