 2023-08-25  09:37:50.645453  556,547
 2023-08-25  09:37:50.665333  560,547
 2023-08-25  09:37:50.694463  565,545
 2023-08-25  09:37:50.714296  558,546
 2023-08-25  09:37:50.744561  561,547
 2023-08-25  09:37:50.763403  558,543
 2023-08-25  09:37:50.792404  563,549
 2023-08-25  09:37:50.812323  559,545
 2023-08-25  09:37:50.841409  559,549
 2023-08-25  09:37:50.861140  558,544
 2023-08-25  09:37:50.890371  557,550
 2023-08-25  09:37:50.910312  558,549
 2023-08-25  09:37:50.940415  557,547
 2023-08-25  09:37:50.959011  556,546
 2023-08-25  09:37:50.988897  562,549
 2023-08-25  09:37:51.007402  560,544
 2023-08-25  09:37:51.036551  554,546
 2023-08-25  09:37:51.056336  561,547
 2023-08-25  09:37:51.085226  559,549
 2023-08-25  09:37:51.104872  560,550
 2023-08-25  09:37:51.133721  560,545
 2023-08-25  09:37:51.153442  558,549
 2023-08-25  09:37:51.182645  558,546
 2023-08-25  09:37:51.202444  557,553
 2023-08-25  09:37:51.232379  558,547
 2023-08-25  09:37:51.251084  558,546
 2023-08-25  09:37:51.280012  560,544
 2023-08-25  09:37:51.299643  559,546
 2023-08-25  09:37:51.328582  558,547
 2023-08-25  09:37:51.348296  564,547
 2023-08-25  09:37:51.377357  558,547
 2023-08-25  09:37:51.397071  560,549
 2023-08-25  09:37:51.426177  557,547
 2023-08-25  09:37:51.445997  563,549
 2023-08-25  09:37:51.474865  564,550
 2023-08-25  09:37:51.494583  558,546
 2023-08-25  09:37:51.523904  559,544
 2023-08-25  09:37:51.544718  561,550
 2023-08-25  09:37:51.573530  558,548
 2023-08-25  09:37:51.593446  559,550
 2023-08-25  09:37:51.622337  558,547
 2023-08-25  09:37:51.642599  561,546
 2023-08-25  09:37:51.671680  559,548
 2023-08-25  09:37:51.691251  560,548
 2023-08-25  09:37:51.720145  560,548
 2023-08-25  09:37:51.741089  557,547
 2023-08-25  09:37:51.770905  558,550
 2023-08-25  09:37:51.789700  553,547
 2023-08-25  09:37:51.818485  561,548
 2023-08-25  09:37:51.838192  560,546
 2023-08-25  09:37:51.866903  557,547
 2023-08-25  09:37:51.886711  558,549
 2023-08-25  09:37:51.915937  558,544
 2023-08-25  09:37:51.935850  557,548
 2023-08-25  09:37:51.966213  562,546
 2023-08-25  09:37:51.985073  562,547
 2023-08-25  09:37:52.014108  558,547
 2023-08-25  09:37:52.034014  556,546
 2023-08-25  09:37:52.064151  561,547
 2023-08-25  09:37:52.082736  563,544
 2023-08-25  09:37:52.111895  558,546
 2023-08-25  09:37:52.132227  560,546
